NU,SIGMA2,FREQ,TAU,SKEW,XMAX,PROBUT,P_XP,N_VARREG,HERL_factor,JERL_factor
0.1,0.25,0.8,0.835433233,-1.35,1.417716616,0.8,0.99,3,0.256992184,0.440160239
0.1,0.25,0.8,0.841162015,-1.25,0.420581007,0.8,0.99,3,0.261525484,0.436271883
0.1,0.25,0.8,0.846000204,-1.15,0.423000102,0.8,0.99,3,0.265840174,0.43045867
0.1,0.25,0.8,0.849956064,-1.05,0.424978032,0.8,0.99,3,0.269970609,0.422906893
0.1,0.25,0.8,0.853041018,-0.95,0.426520509,0.8,0.99,3,0.273948677,0.413823089
0.1,0.25,0.8,0.855268566,-0.85,0.427634283,0.8,0.99,3,0.277803673,0.403440148
0.1,0.25,0.8,0.856653369,-0.75,0.428326684,0.8,0.99,3,0.28156204,0.392023641
0.1,0.25,0.8,0.857210501,-0.65,0.428605251,0.8,0.99,3,0.285247792,0.379879284
0.1,0.25,0.8,0.856954903,-0.55,0.428477452,0.8,0.99,3,0.288882355,0.367355243
0.1,0.25,0.8,0.855900979,-0.45,0.427950489,0.8,0.99,3,0.292483393,0.354834728
0.1,0.25,0.8,0.854062337,-0.35,0.427031168,0.8,0.99,3,0.296069736,0.342731296
0.1,0.25,0.8,0.851451643,-0.25,0.425725822,0.8,0.99,3,0.299655941,0.331441687
0.1,0.25,0.8,0.848080556,-0.15,0.424040278,0.8,0.99,3,0.303323934,0.321450147
0.1,0.25,0.8,0.833506821,0.15,0.416753411,0.8,0.99,3,0.314029302,0.298898568
0.1,0.25,0.8,0.8271917,0.25,0.41359585,0.8,0.99,3,0.31798221,0.29450495
0.1,0.25,0.8,0.820161054,0.35,0.410080527,0.8,0.99,3,0.321790309,0.290628998
0.1,0.25,0.8,0.812422049,0.45,0.406211025,0.8,0.99,3,0.325670557,0.287420531
0.1,0.25,0.8,0.803981688,0.55,0.401990844,0.8,0.99,3,0.329622916,0.284671289
0.1,0.25,0.8,0.794847058,0.65,0.397423529,0.8,0.99,3,0.333656295,0.282258512
0.1,0.25,0.8,0.78502561,0.75,0.392512805,0.8,0.99,3,0.337774359,0.280113328
0.1,0.25,0.8,0.774525452,0.85,0.387262726,0.8,0.99,3,0.341981663,0.278214659
0.1,0.25,0.8,0.763355671,0.95,0.381677835,0.8,0.99,3,0.346281684,0.276567503
0.1,0.25,0.8,0.751526652,1.05,0.375763326,0.8,0.99,3,0.350677211,0.275189269
0.1,0.25,0.8,0.739050388,1.15,0.369525194,0.8,0.99,3,0.355169965,0.274099429
0.1,0.25,0.8,0.725940767,1.25,0.362970383,0.8,0.99,3,0.359761004,0.273314876
0.1,0.25,0.8,0.71221381,1.35,0.356106905,0.8,0.99,3,0.364450236,0.272846771
0.1,0.25,0.9,1.052871969,-1.35,0.526435984,0.9,0.99,3,0.199699358,0.311473127
0.1,0.25,0.9,1.075197193,-1.25,0.537598597,0.9,0.99,3,0.206328822,0.320693859
0.1,0.25,0.9,1.096769513,-1.15,0.548384756,0.9,0.99,3,0.212712143,0.328088822
0.1,0.25,0.9,1.117541459,-1.05,0.55877073,0.9,0.99,3,0.21887711,0.333597485
0.1,0.25,0.9,1.137475508,-0.95,0.568737754,0.9,0.99,3,0.224851186,0.337150775
0.1,0.25,0.9,1.156542569,-0.85,0.578271285,0.9,0.99,3,0.230660918,0.33867047
0.1,0.25,0.9,1.174720466,-0.75,0.587360233,0.9,0.99,3,0.236331145,0.33807513
0.1,0.25,0.9,1.191992507,-0.65,0.595996254,0.9,0.99,3,0.241885022,0.335300228
0.1,0.25,0.9,1.20834622,-0.55,0.60417311,0.9,0.99,3,0.247343803,0.330333246
0.1,0.25,0.9,1.223772277,-0.45,0.611886138,0.9,0.99,3,0.252726243,0.323263305
0.1,0.25,0.9,1.238263621,-0.35,0.619131811,0.9,0.99,3,0.258051029,0.314343667
0.1,0.25,0.9,1.251814769,-0.25,0.625907384,0.9,0.99,3,0.263333758,0.304021072
