"","site_no","peak_WY","peak_va","plot_pos"
"1","06177720.00",1991,3370,0.0407
"2","06177720.00",1986,313,0.0816
"3","06177720.00",1989,136,0.1224
"4","06177720.00",1982,113,0.1633
"5","06177720.00",1976,104,0.2041
"6","06177720.00",-1972,103,0.245
"7","06177720.00",1975,49,0.3332
"8","06177720.00",1979,48,0.3809
"9","06177720.00",1983,45,0.4285
"10","06177720.00",1992,44,0.4761
"11","06177720.00",1990,25,0.5238
"12","06177720.00",1984,23,0.5714
"13","06177720.00",1977,11,0.6667
"14","06177720.00",1981,11,0.619
"15","06177720.00",1978,10,0.7143
"16","06177720.00",1987,6,0.8096
"17","06177720.00",1988,6,0.7619
"18","06177720.00",1974,0,0.9525
"19","06177720.00",1980,0,0.9049
"20","06177720.00",1985,0,0.8572
"21","06177820.00",2009,167,0.0211
"22","06177820.00",2017,160,0.0423
"23","06177820.00",1989,148,0.0635
"24","06177820.00",1991,142,0.0847
"25","06177820.00",2001,109,0.1059
"26","06177820.00",1978,105,0.1271
"27","06177820.00",1986,102,0.1482
"28","06177820.00",2010,97,0.1694
"29","06177820.00",1994,85,0.1906
"30","06177820.00",1997,83,0.2118
"31","06177820.00",1976,54,0.233
"32","06177820.00",2018,53.6,0.2542
"33","06177820.00",1979,52,0.2753
"34","06177820.00",1982,46,0.2965
"35","06177820.00",1974,42,0.3177
"36","06177820.00",1996,40,0.3389
"37","06177820.00",2003,38,0.3601
"38","06177820.00",1993,34,0.3813
"39","06177820.00",2019,32.9,0.4025
"40","06177820.00",2007,32,0.4236
"41","06177820.00",1983,31,0.4448
"42","06177820.00",2006,27,0.466
"43","06177820.00",1999,26,0.4872
"44","06177820.00",1987,25,0.5296
"45","06177820.00",1995,25,0.5084
"46","06177820.00",2014,24.6,0.5507
"47","06177820.00",2005,24,0.5719
"48","06177820.00",2000,22,0.5931
"49","06177820.00",1980,21,0.6567
"50","06177820.00",1981,21,0.6355
"51","06177820.00",1984,21,0.6143
"52","06177820.00",1985,20,0.6779
"53","06177820.00",1975,19,0.7414
"54","06177820.00",2004,19,0.7202
"55","06177820.00",2011,19,0.699
"56","06177820.00",1992,18,0.7626
"57","06177820.00",1990,15,0.7838
"58","06177820.00",2013,14.9,0.805
"59","06177820.00",2015,0,0.913
"60","06177820.00",2016,0,0.913
"61","06177820.00",1977,0,0.9752
"62","06177820.00",1988,0,0.9503
"63","06177820.00",1998,0,0.9255
"64","06177820.00",2002,0,0.9006
"65","06177820.00",2008,0,0.8757
"66","06177820.00",2012,0,0.8509
"67","06177820.00",2015,11.8,0.913
"68","06177820.00",2016,0.9,0.913
"69","06185200.00",1966,2570,0.0624
"70","06185200.00",1976,280,0.1249
"71","06185200.00",1963,142,0.1874
"72","06185200.00",1971,47,0.2499
"73","06185200.00",1974,28,0.3124
"74","06185200.00",1975,23,0.375
"75","06185200.00",1972,20,0.4375
"76","06185200.00",1969,16,0.5
"77","06185200.00",1967,14,0.5625
"78","06185200.00",1970,9,0.625
"79","06185200.00",1968,3,0.6876
"80","06185200.00",1965,1,0.8126
"81","06185200.00",1977,1,0.7501
"82","06185200.00",1964,0,0.9376
"83","06185200.00",1973,0,0.8751
"84","06185500.10",2011,104000,0.0062
"85","06185500.10",1943,78200,0.0257
"86","06185500.10",1960,55000,0.039
"87","06185500.10",1979,52000,0.0524
"88","06185500.10",1969,40000,0.0657
"89","06185500.10",1975,39600,0.079
"90","06185500.10",2019,37700,0.0924
"91","06185500.10",1972,35000,0.1057
"92","06185500.10",1951,34500,0.1191
"93","06185500.10",1982,34000,0.1324
"94","06185500.10",1976,32900,0.1458
"95","06185500.10",1949,30700,0.1591
"96","06185500.10",1947,30400,0.1725
"97","06185500.10",1948,29300,0.1858
"98","06185500.10",1978,27000,0.1992
"99","06185500.10",1997,26900,0.2125
"100","06185500.10",1967,25600,0.2259
"101","06185500.10",2018,24600,0.2392
"102","06185500.10",1965,23800,0.2526
"103","06185500.10",2017,23500,0.2659
"104","06185500.10",1999,23400,0.2793
"105","06185500.10",1950,23000,0.2926
"106","06185500.10",1998,22700,0.306
"107","06185500.10",1971,22300,0.3193
"108","06185500.10",1974,22000,0.346
"109","06185500.10",1986,22000,0.3327
"110","06185500.10",1959,21500,0.3727
"111","06185500.10",2020,21500,0.3593
"112","06185500.10",1944,21000,0.3994
"113","06185500.10",1966,21000,0.386
"114","06185500.10",1946,20400,0.4127
