"site_no","EXC_Prob","Estimate","Variance","Conf_Low","Conf_Up","K-Value"
"06177720.00",0.995,0,0.4364,0,0,-2.431
"06177720.00",0.99,0,0.3355,0,0,-2.212
"06177720.00",0.98,0,0.2482,0,0,-1.97
"06177720.00",0.975,0,0.223,0,0,-1.886
"06177720.00",0.96,0,0.1748,0,0,-1.697
"06177720.00",0.95,0,0.1541,0,0,-1.6
"06177720.00",0.9,0,0.0996,0,0,-1.264
"06177720.00",0.8,6,0.06,0.8,11.2,-0.8482
"06177720.00",0.7,10.5,0.0443,1.9,19.7,-0.5425
"06177720.00",0.6667,12.4,0.0413,2.9,23.5,-0.4513
"06177720.00",0.6,17.1,0.037,5.5,33.4,-0.2771
"06177720.00",0.5704,19.6,0.0358,7,38.8,-0.2021
"06177720.00",0.5,27.1,0.034,11.6,55.7,-0.0257
"06177720.00",0.4292,37.6,0.0337,17.7,80.4,0.1533
"06177720.00",0.4,43.3,0.034,20.9,94,0.229
"06177720.00",0.3,71.9,0.037,35.8,168.3,0.5052
"06177720.00",0.2,131.3,0.0443,63.5,351.3,0.8333
"06177720.00",0.1,307.9,0.0631,136.1,1117,1.297
"06177720.00",0.05,631.1,0.0894,250.9,3319,1.688
"06177720.00",0.04,779.8,0.0995,298.9,4659,1.803
"06177720.00",0.025,1189,0.1237,419.9,9386,2.032
"06177720.00",0.02,1438,0.1366,487.6,13020,2.136
"06177720.00",0.01,2512,0.1825,745.3,35300,2.439
"06177720.00",0.005,4213,0.2377,1084,93910,2.721
"06177720.00",0.002,7948,0.3258,1677,336500,3.066
"06177820.00",0.995,0,0.0655,0,0,-2.511
"06177820.00",0.99,0,0.0485,0,0,-2.276
"06177820.00",0.98,0,0.0342,0,0,-2.017
"06177820.00",0.975,0,0.0302,0,0,-1.927
"06177820.00",0.96,0,0.0226,0,0,-1.727
"06177820.00",0.95,0,0.0195,0,0,-1.625
"06177820.00",0.9,0,0.0115,0,0,-1.274
"06177820.00",0.8,14.6,0.0063,8.5,18.2,-0.8448
"06177820.00",0.7,19.2,0.0045,13.3,23.9,-0.5326
"06177820.00",0.6667,20.9,0.0042,15,26,-0.4401
"06177820.00",0.6,24.4,0.0038,18.5,30.6,-0.2641
"06177820.00",0.5704,26.1,0.0037,20.1,32.8,-0.1885
"06177820.00",0.5,30.5,0.0035,24.1,38.6,-0.0115
"06177820.00",0.4292,35.8,0.0036,28.5,45.5,0.1672
"06177820.00",0.4,38.3,0.0036,30.5,48.8,0.2425
"06177820.00",0.3,48.8,0.004,38.8,63.3,0.5159
"06177820.00",0.2,64.9,0.0046,50.9,86.9,0.8381
"06177820.00",0.1,96.7,0.0064,73.6,139.9,1.289
"06177820.00",0.05,135,0.0092,99,217,1.664
"06177820.00",0.04,148.8,0.0103,107.7,249,1.774
"06177820.00",0.025,180.5,0.0132,126.7,331.4,1.993
"06177820.00",0.02,197,0.0147,136.1,379,2.091
"06177820.00",0.01,253.9,0.0205,166.5,572.9,2.377
"06177820.00",0.005,320.8,0.0278,198.8,862,2.641
"06177820.00",0.002,426.5,0.04,244.1,1472,2.962
"06185200.00",0.995,0,0.999,0,0,-2.656
"06185200.00",0.99,0,0.7754,0,0,-2.389
"06185200.00",0.98,0,0.5821,0,0,-2.099
"06185200.00",0.975,0,0.5263,0,0,-2
"06185200.00",0.96,0,0.4191,0,0,-1.78
"06185200.00",0.95,0,0.3731,0,0,-1.669
"06185200.00",0.9,0,0.2505,0,0,-1.29
"06185200.00",0.8,1.4,0.1591,0,4.1,-0.8372
"06185200.00",0.7,3.2,0.1209,0.2,9.4,-0.5139
"06185200.00",0.6667,4.1,0.1131,0.4,12.2,-0.4191
"06185200.00",0.6,6.6,0.1017,1,20.2,-0.24
"06185200.00",0.5704,8,0.0981,1.4,25,-0.1636
"06185200.00",0.5,12.7,0.0923,3,41.6,0.0142
"06185200.00",0.4292,20.2,0.0899,5.6,69.4,0.1921
"06185200.00",0.4,24.5,0.0899,7.1,86.3,0.2665
"06185200.00",0.3,49.2,0.094,15.5,193.1,0.5345
"06185200.00",0.2,110.6,0.1077,34.7,530.5,0.8455
"06185200.00",0.1,335.7,0.1451,96.4,2559,1.272
"06185200.00",0.05,831,0.197,211.3,10960,1.62
"06185200.00",0.04,1080,0.2167,262.8,17130,1.721
"06185200.00",0.025,1810,0.2631,398.1,42530,1.919
"06185200.00",0.02,2278,0.2874,476.3,64600,2.008
"06185200.00",0.01,4434,0.3728,781.9,226900,2.264
"06185200.00",0.005,8116,0.473,1193,747700,2.496
"06185200.00",0.002,16780,0.6288,1915,3404000,2.775
"06185500.10",0.995,9007,0.0039,7162,11590,-1.648
"06185500.10",0.99,9323,0.0028,7717,11610,-1.575
"06185500.10",0.98,9746,0.0018,8382,11670,-1.481
"06185500.10",0.975,9913,0.0015,8624,11710,-1.445
"06185500.10",0.96,10330,0.001,9190,11820,-1.358
"06185500.10",0.95,10570,8e-04,9489,11900,-1.31
"06185500.10",0.9,11540,4e-04,10590,12480,-1.124
"06185500.10",0.8,13130,4e-04,12180,14240,-0.851
"06185500.10",0.7,14650,5e-04,13500,16070,-0.6194
"06185500.10",0.6667,15180,6e-04,13920,16690,-0.5451
"06185500.10",0.6,16280,6e-04,14780,17980,-0.3967
"06185500.10",0.5704,16800,7e-04,15190,18600,-0.3301
"06185500.10",0.5,18150,8e-04,16260,20190,-0.1671
"06185500.10",0.4292,19710,9e-04,17530,22060,0.0076
"06185500.10",0.4,20440,9e-04,18140,22940,0.0843
"06185500.10",0.3,23490,0.001,20760,26720,0.3779
