"","site_no","station_nm","Analysis","BegYear","EndYear","HistLength","SkewOption","Skew","Mean","StandDev","AtSiteSkew","AtSiteMSEG","AtSiteMSEG_GagedOnly","RegSkew","RegMSEG","GagedPeaks","HistPeaks","KENTAU","KENPLV","KENSLP","PILF_Method","PILF_Thresh","PILFs","PILF_0s","PILF_Censored","PILF_Gaged","EMA_Num_Iter"
"1","06177720.00","West Fork Sullivan Creek near Richey MT","EMA",1972,1992,21,"Weighted",0.154,1.453,0.798,0.967,0.353,0.379,-0.379,0.41,19,1,0.067,0.752,1.386,"MGBT",6,3,3,0,0,36
"2","06177820.00","Horse Creek Tributary near Richey MT","EMA",1974,2019,46,"Weighted",0.069,1.489,0.385,0.365,0.138,0.143,-0.398,0.41,46,0,-0.065,0.56,-0.175,"MGBT",14.9,8,6,2,0,38
"3","06185200.00","Missouri River trib no. 3 nr Culbertson MT","EMA",1963,1977,15,"Weighted",-0.085,1.088,1.13,0.384,0.357,0.357,-0.4,0.41,15,0,0.064,0.807,1.1,"MGBT",1,2,2,0,0,26
"4","06185500.10","Missouri River near Culbertson MT","EMA",1942,2022,81,"Station",1.02,4.293,0.206,1.02,0.159,0.158,-999,0,74,0,-0.292,0,-152.273,"MGBT",0,0,0,0,0,20
"5","06185500.11","Missouri River near Culbertson MT","EMA",1937,2022,86,"Station",0.871,4.318,0.224,0.871,0.118,0.118,-999,0,86,0,-0.311,0,-159.574,"MGBT",0,0,0,0,0,4
"6","06324500.00","Powder River at Moorhead MT","EMA",1878,2022,145,"Weighted",0.394,3.742,0.324,0.591,0.064,0.091,-0.005,0.41,92,1,-0.252,0,-48,"MGBT",2620,17,0,0,17,102
"7","06324500.01","Powder River at Moorhead MT","EMA",1878,2022,145,"Weighted",0.263,3.756,0.343,0.364,0.052,0.07,-0.005,0.41,103,1,-0.285,0,-49.4,"MGBT",2390,17,0,0,17,85
"8","06324710.00","Powder River at Broadus MT","EMA",1976,2022,47,"Weighted",0.079,3.559,0.369,0.209,0.214,0.304,-0.041,0.41,17,0,-0.118,0.537,-160,"MGBT",0,0,0,0,0,67
"9","06324710.01","Powder River at Broadus MT","EMA",1878,2022,145,"Weighted",0.225,3.716,0.364,0.28,0.064,0.065,-0.041,0.41,104,0,-0.301,0,-53.485,"MGBT",0,0,0,0,0,31
"10","06325500.00","Little Powder River near Broadus MT","EMA",1947,1978,32,"Weighted",-0.205,3.05,0.251,-0.302,0.203,0.233,-0.04,0.41,24,1,0.098,0.519,14.485,"MGBT",0,0,0,0,0,27
