"","site_no","peak_va","p_value"
"1","06324500.00",800,0.3669
"2","06324500.00",1000,0.2688
"3","06324500.00",1180,0.2564
"4","06324500.00",1320,0.234
"5","06324500.00",1410,0.1698
"6","06324500.00",1490,0.1176
"7","06324500.00",1620,0.1266
"8","06324500.00",1760,0.1554
"9","06324500.00",1920,0.2252
"10","06324500.00",1990,0.1835
"11","06324500.00",2000,0.0921
"12","06324500.00",2020,0.0438
"13","06324500.00",2160,0.0625
"14","06324500.00",2180,0.0289
"15","06324500.00",2200,0.0119
"16","06324500.00",2210,0.0037
"17","06324500.00",2210,9e-04
"18","06324500.01",800,0.39
"19","06324500.01",1000,0.2966
"20","06324500.01",1180,0.2903
"21","06324500.01",1320,0.2726
"22","06324500.01",1410,0.2075
"23","06324500.01",1490,0.1522
"24","06324500.01",1620,0.1688
"25","06324500.01",1760,0.2105
"26","06324500.01",1920,0.3018
"27","06324500.01",1990,0.2596
"28","06324500.01",2000,0.1466
"29","06324500.01",2020,0.0794
"30","06324500.01",2160,0.1154
"31","06324500.01",2180,0.0622
"32","06324500.01",2200,0.0304
"33","06324500.01",2210,0.0119
"34","06324500.01",2210,0.0035
"35","06326960.00",0.5,0.053
"36","06326960.00",1,0.276
"37","06326960.00",1,0.1091
"38","06326960.00",1,0.0302
"39","06326960.00",1,0.0056
"40","06326960.00",1,6e-04
"41","06326960.00",2,0.017
"42","06326960.00",2,0.0032
"43","06326960.00",2.2,0.001
"44","06327450.00",20.2,0.0399
"45","06327450.00",36.6,0.0079
"46","06327450.00",80,0.0462
"47","06327450.00",157,0.6201
"48","06327450.00",158,0.3572
"49","06327450.00",177,0.3376
"50","06327450.00",177,0.1352
"51","06327450.00",189,0.0733
"52","06327450.00",206,0.0441
"53","06327450.00",209,0.0087
"54","06327450.00",210,7e-04
"55","06328100.00",1,1e-04
"56","06328100.00",3,2e-04
"57","06328100.00",4,0
"58","06328100.00",8,1e-04
"59","06328100.00",11,1e-04
"60","06328100.00",17,4e-04
"61","06328100.00",25,0.003
"62","06328100.00",34,0.0216
"63","06328100.00",38.3,0.0219
"64","06328100.00",41,0.0121
"65","06328100.00",43,0.0046
"66","06328100.00",46.2,0.0022
"67","06328100.00",46.2,3e-04
"68","06328100.00",70,0.0368
"69","06328100.00",75,0.0341
"70","06328900.00",0.4,3e-04
